,url_raw,url
0,https://www.teamblind.com/kr/post/중국과의-무역-금지-TwvyWJhP,https://www.teamblind.com/kr/post/중국과의-무역-금지-TwvyWJhP
1,https://www.teamblind.com/kr/post/미장-올해-늦어도-9월에-도망가십시오-hiFWPApp,https://www.teamblind.com/kr/post/미장-올해-늦어도-9월에-도망가십시오-hiFWPApp
2,https://www.teamblind.com/kr/post/가슴이-두중두중-mhWAnDPz,https://www.teamblind.com/kr/post/가슴이-두중두중-mhWAnDPz
3,https://www.teamblind.com/kr/post/부동산-계급도.jpg-SoH2nRLo,https://www.teamblind.com/kr/post/부동산-계급도jpg-SoH2nRLo
4,https://www.teamblind.com/kr/post/넣어두구-걱정-없는-종목-cvLKSidd,https://www.teamblind.com/kr/post/넣어두구-걱정-없는-종목-cvLKSidd
5,https://www.teamblind.com/kr/post/하닉-폭락-이유-p8H1dQTf,https://www.teamblind.com/kr/post/하닉-폭락-이유-p8H1dQTf
6,https://www.teamblind.com/kr/post/종목-하나만-봐줄-고수형-ttQybUSt,https://www.teamblind.com/kr/post/종목-하나만-봐줄-고수형-ttQybUSt
7,https://www.teamblind.com/kr/post/SOXL-지금이니-foyDDvGR,https://www.teamblind.com/kr/post/SOXL-지금이니-foyDDvGR
8,https://www.teamblind.com/kr/post/내-잔고-aKPJ2vEB,https://www.teamblind.com/kr/post/내-잔고-aKPJ2vEB
9,https://www.teamblind.com/kr/post/하이닉스-머선-129-Gq7ioEwM,https://www.teamblind.com/kr/post/하이닉스-머선-129-Gq7ioEwM
10,https://www.teamblind.com/kr/post/테슬라-주주-등판-RbdJ6KQS,https://www.teamblind.com/kr/post/테슬라-주주-등판-RbdJ6KQS
11,https://www.teamblind.com/kr/post/원자력-테마주-추천-2PDyaqey,https://www.teamblind.com/kr/post/원자력-테마주-추천-2PDyaqey
